Percent of time per function
Capture, 39.7059%
Grayscale, 8.45274%
Sobel, 32.0222%
Display, 19.8191%

Summary
Frames per second, 74.9778
Cycles per frame, 1.1952e+07
Energy per frames (mJ), 18.6722
Total frames, 50

Hardware Stats (Cap + Gray + Sobel + Display)
Instructions per cycle, 0.89175
L1 misses per frame, 97176.2
L1 misses per instruction, 0.00923471
Instruction count per frame, 1.05229e+07
